country,region,income,gdp,population
Russian Federation,ECS,Upper Middle,26012.849609375,143201680
Rwanda,SSF,Low,1950.528076171875,11917508
Saudi Arabia,MEA,High,48921.23046875,31557144
Sudan,SSF,Lower Middle,4191.8232421875,38647804
Senegal,SSF,Low,3067.66259765625,15411614
Singapore,EAS,High,97341.46875,5703600
Solomon Islands,EAS,Lower Middle,2596.452880859375,563513
Sierra Leone,SSF,Low,1237.6302490234375,5439695
El Salvador,LCN,Lower Middle,7328.71337890625,6164626
San Marino,ECS,High,58806.19921875,33203
Somalia,SSF,Low,1862.6141357421875,14317996
Serbia,ECS,Upper Middle,18351.2734375,6944975
South Sudan,SSF,Low,1795.991943359375,11177490
São Tomé and Príncipe,SSF,Lower Middle,3720.786865234375,191266
Suriname,LCN,Upper Middle,16953.802734375,526103
Slovak Republic,ECS,High,31965.76171875,5454073
Slovenia,ECS,High,39037.93359375,2087946
Sweden,ECS,High,52608.7109375,10285453
Eswatini,SSF,Lower Middle,8321.1064453125,1343098
Sint Maarten (Dutch part),LCN,High,,37685
Seychelles,SSF,High,23302.953125,88303
Syrian Arab Republic,MEA,Low,8587.05078125,20824892
Turks and Caicos Islands,LCN,High,28174.482421875,34900
Chad,SSF,Low,1732.6912841796875,11887202
Togo,SSF,Low,1404.1329345703125,7228915
Thailand,EAS,Upper Middle,16301.5380859375,68657600
Tajikistan,ECS,Low,2616.4755859375,8177809
Turkmenistan,ECS,Upper Middle,11471.1865234375,5366277
Timor-Leste,EAS,Lower Middle,3344.57373046875,1268671
Tonga,EAS,Upper Middle,5636.41845703125,104951
Trinidad and Tobago,LCN,High,28910.908203125,1328100
Tunisia,MEA,Lower Middle,10505.2626953125,11143908
Turkey,ECS,Upper Middle,28289.087890625,83429616
Tuvalu,EAS,Upper Middle,3793.127685546875,11097
,EAS,High,57362.92578125,23434000
Tanzania,SSF,Low,2128.553955078125,49082996
Uganda,SSF,Low,1972.3017578125,35093648
Ukraine,ECS,Lower Middle,11534.6376953125,45004644
Uruguay,LCN,High,20588.392578125,3431552
United States,NAC,High,61498.37109375,326687488
Uzbekistan,ECS,Lower Middle,5164.2744140625,29774500
St. Vincent and the Grenadines,LCN,Upper Middle,11971.9931640625,109455
"Venezuela, RB",LCN,Upper Middle,14269.673828125,29893080
British Virgin Islands,LCN,High,24215.8828125,20645
Virgin Islands (U.S.),LCN,High,30436.564453125,105784
Vietnam,EAS,Lower Middle,5089.4111328125,86932496
Vanuatu,EAS,Lower Middle,3061.787353515625,270402
Samoa,EAS,Upper Middle,6210.9833984375,187665
Kosovo,ECS,Lower Middle,9723.5615234375,1801800
"Yemen, Rep.",MEA,Low,8269.671875,27584212
South Africa,SSF,Upper Middle,12666.607421875,51729344
Zambia,SSF,Lower Middle,3201.289306640625,14264756
Zimbabwe,SSF,Low,3190.506591796875,12500525
